Date;Heure;manip;Time_start;Hour_start;Minute_start;HourMin_dec;Minute_dec;HourMin;Jan;Jdec;Jsemis
05/04/2013;16h30 17h00;GFBM1;16h30;16;30;0,6875;0,5;16,5;95;95,6875;88
06/04/2013;18h00;GFBM1;18h00;18;0;0,75;0;18;96;96,75;88
07/04/2013;16h00-16h20;GFBM1;16h00;16;0;0,6667;0;16;97;97,6667;88
08/04/2013;9h30-10h30;GFBM1;9h30;9;30;0,3958;0,5;9,5;98;98,3958;88
09/04/2013;9h30-11h00;GFBM1;9h30;9;30;0,3958;0,5;9,5;99;99,3958;88
10/04/2013;8h30-09h50;GFBM1;8h30;8;30;0,3542;0,5;8,5;100;100,3542;88
11/04/2013;07h20-8h00;GFBM1;07h20;7;20;0,3056;0,333333333;7,3333;101;101,3056;88
12/04/2013;11h45-13h10;GFBM1;11h45;11;45;0,4896;0,75;11,75;102;102,4896;88
13/04/2013;13h15-15h00;GFBM1;13h15;13;15;0,5521;0,25;13,25;103;103,5521;88
14/04/2013;12h20-13h15;GFBM1;12h20;12;20;0,5139;0,333333333;12,3333;104;104,5139;88
15/04/2013;10h15-11h15;GFBM1;10h15;10;15;0,4271;0,25;10,25;105;105,4271;88
16/04/2013;9h15-10h00;GFBM1;9h15;9;15;0,3854;0,25;9,25;106;106,3854;88
17/04/2013;9h20-10h00;GFBM1;9h20;9;20;0,3889;0,333333333;9,3333;107;107,3889;88
18/04/2013;9h15-10h00;GFBM1;9h15;9;15;0,3854;0,25;9,25;108;108,3854;88
19/04/2013;9h05-9h50;GFBM1;9h05;9;5;0,3785;0,083333333;9,0833;109;109,3785;88
20/04/2013;12h05-12h40;GFBM1;12h05;12;5;0,5035;0,083333333;12,0833;110;110,5035;88
21/04/2013;12h45-13h15;GFBM1;12h45;12;45;0,5313;0,75;12,75;111;111,5313;88
22/04/2013;10h00-10h30;GFBM1;10h00;10;0;0,4167;0;10;112;112,4167;88
23/04/2013;9h45-10h15;GFBM1;9h45;9;45;0,4063;0,75;9,75;113;113,4063;88
24/04/2013;9h25-10h00;GFBM1;9h25;9;25;0,3924;0,416666667;9,4167;114;114,3924;88
25/04/2013;10h00-10h05;GFBM1;10h00;10;0;0,4167;0;10;115;115,4167;88
26/04/2013;9h55-10h00;GFBM1;9h55;9;55;0,4132;0,916666667;9,9167;116;116,4132;88
27/04/2013;11h45;GFBM1;11h45;11;45;0,4896;0,75;11,75;117;117,4896;88
28/04/2013;11h00;GFBM1;11h00;11;0;0,4583;0;11;118;118,4583;88
29/04/2013;11h25;GFBM1;11h25;11;25;0,4757;0,416666667;11,4167;119;119,4757;88
30/04/2013;10h00;GFBM1;10h00;10;0;0,4167;0;10;;0,4167;88
;;;;;;;;;;;
14/05/2013;15h45;GFBM2;15h45;15;45;0,625;0,75;15,75;134;134,625;130
15/05/2013;10h25-11h30;GFBM2;10h25;10;25;0,4167;0,416666667;10,4167;135;135,4167;130
16/05/2013;10h00-10h30;GFBM2;10h00;10;0;0,4167;0;10;136;136,4167;130
17/05/2013;10h00-10h30;GFBM2;10h00;10;0;0,4167;0;10;137;137,4167;130
18/05/2013;17h00-17h30;GFBM2;17h00;17;0;0,7083;0;17;138;138,7083;130
19/05/2013;12h30-13h00;GFBM2;12h30;12;30;0,5;0,5;12,5;139;139,5;130
20/05/2013;11h50-12h15;GFBM2;11h50;11;50;0,4583;0,833333333;11,8333;140;140,4583;130
21/05/2013;10h00-11h10;GFBM2;10h00;10;0;0,4167;0;10;141;141,4167;130
22/05/2013;10h25-11h00;GFBM2;10h25;10;25;0,4167;0,416666667;10,4167;142;142,4167;130
23/05/2013;9h35-10h15;GFBM2;9h35;9;35;0,375;0,583333333;9,5833;143;143,375;130
24/05/2013;10h00-10h45;GFBM2;10h00;10;0;0,4167;0;10;144;144,4167;130
