Date;Heure;manip;Time_start;Hour_start;Minute_start;HourMin_dec;Minute_dec;HourMin;Jan;Jdec;Jsemis
03/04/13;14h00;GFBM1;14h00;14;00;0,5833;0;14,0000;93;93,5833;88
04/04/13;14h00;GFBM1;14h00;14;00;0,5833;0;14,0000;94;94,5833;88
05/04/13;16h30 17h00;GFBM1;16h30;16;30;0,6875;0,5;16,5000;95;95,6875;88
06/04/13;18h00;GFBM1;18h00;18;00;0,7500;0;18,0000;96;96,7500;88
07/04/13;16h00-16h20;GFBM1;16h00;16;00;0,6667;0;16,0000;97;97,6667;88
08/04/13;9h30-10h30;GFBM1;9h30;9;30;0,3958;0,5;9,5000;98;98,3958;88
09/04/13;9h30-11h00;GFBM1;9h30;9;30;0,3958;0,5;9,5000;99;99,3958;88
10/04/13;8h30-09h50;GFBM1;8h30;8;30;0,3542;0,5;8,5000;100;100,3542;88
11/04/13;07h20-8h00;GFBM1;07h20;07;20;0,3056;0,3333333333;7,3333;101;101,3056;88
12/04/13;11h45-13h10;GFBM1;11h45;11;45;0,4896;0,75;11,7500;102;102,4896;88
13/04/13;13h15-15h00;GFBM1;13h15;13;15;0,5521;0,25;13,2500;103;103,5521;88
14/04/13;12h20-13h15;GFBM1;12h20;12;20;0,5139;0,3333333333;12,3333;104;104,5139;88
15/04/13;10h15-11h15;GFBM1;10h15;10;15;0,4271;0,25;10,2500;105;105,4271;88
16/04/13;9h15-10h00;GFBM1;9h15;9,00;15;0,3854;0,25;9,2500;106;106,3854;88
17/04/13;9h20-10h00;GFBM1;9h20;9,00;20;0,3889;0,3333333333;9,3333;107;107,3889;88
18/04/13;9h15-10h00;GFBM1;9h15;9,00;15;0,3854;0,25;9,2500;108;108,3854;88
19/04/13;9h05-9h50;GFBM1;9h05;9,00;05;0,3785;0,0833333333;9,0833;109;109,3785;88
20/04/13;12h05-12h40;GFBM1;12h05;12;05;0,5035;0,0833333333;12,0833;110;110,5035;88
21/04/13;12h45-13h15;GFBM1;12h45;12;45;0,5313;0,75;12,7500;111;111,5313;88
22/04/13;10h00-10h30;GFBM1;10h00;10;00;0,4167;0;10,0000;112;112,4167;88
23/04/13;9h45-10h15;GFBM1;9h45;9,00;45;0,4063;0,75;9,7500;113;113,4063;88
24/04/13;9h25-10h00;GFBM1;9h25;9,00;25;0,3924;0,4166666667;9,4167;114;114,3924;88
25/04/13;10h00-10h05;GFBM1;10h00;10;00;0,4167;0;10,0000;115;115,4167;88
26/04/13;9h55-10h00;GFBM1;9h55;9,00;55;0,4132;0,9166666667;9,9167;116;116,4132;88
27/04/13;11h45;GFBM1;11h45;11;45;0,4896;0,75;11,7500;117;117,4896;88
28/04/13;11h00;GFBM1;11h00;11;00;0,4583;0;11,0000;118;118,4583;88
29/04/13;11h25;GFBM1;11h25;11;25;0,4757;0,4166666667;11,4167;119;119,4757;88
30/04/13;10h00;GFBM1;10h00;10;00;0,4167;0;10,0000;;0,4167;88
;;;;;;;;;;;
14/05/13;15h45;GFBM2;15h45;15;45;0,6250;0,75;15,7500;134;134,6250;130
15/05/13;10h25-11h30;GFBM2;10h25;10;25;0,4167;0,4166666667;10,4167;135;135,4167;130
16/05/13;10h00-10h30;GFBM2;10h00;10;00;0,4167;0;10,0000;136;136,4167;130
17/05/13;10h00-10h30;GFBM2;10h00;10;00;0,4167;0;10,0000;137;137,4167;130
18/05/13;17h00-17h30;GFBM2;17h00;17;00;0,7083;0;17,0000;138;138,7083;130
19/05/13;12h30-13h00;GFBM2;12h30;12;30;0,5000;0,5;12,5000;139;139,5000;130
20/05/13;11h50-12h15;GFBM2;11h50;11;50;0,4583;0,8333333333;11,8333;140;140,4583;130
21/05/13;10h00-11h10;GFBM2;10h00;10;00;0,4167;0;10,0000;141;141,4167;130
22/05/13;10h25-11h00;GFBM2;10h25;10;25;0,4167;0,4166666667;10,4167;142;142,4167;130
23/05/13;9h35-10h15;GFBM2;9h35;9;35;0,3750;0,5833333333;9,5833;143;143,3750;130
24/05/13;10h00-10h45;GFBM2;10h00;10;00;0,4167;0;10,0000;144;144,4167;130
25/05/13;13h25-14h30;GFBM2;13h25;13;25;0,5417;0,4166666667;13,4167;145;145,5417;130
26/05/13;13h30-14h30;GFBM2;13h30;13;30;0,5417;0,5;13,5000;146;146,5417;130
27/05/13;13h45-14h30;GFBM2;13h45;13;45;0,5417;0,75;13,7500;147;147,5417;130
28/05/13;13h35-14h25;GFBM2;13h35;13;35;0,5417;0,5833333333;13,5833;148;148,5417;130
29/05/13;14h25-15h10;GFBM2;14h25;14;25;0,5833;0,4166666667;14,4167;149;149,5833;130
30/05/13;11h30-12h20;GFBM2;11h30;11;30;0,4583;0,5;11,5000;150;150,4583;130
31/05/13;14h00-14h25;GFBM2;14h00;14;00;0,5833;0;14,0000;151;151,5833;130
01/06/13;17h45-18h10;GFBM2;17h45;17;45;0,7083;0,75;17,7500;152;152,7083;130
02/06/13;16h25-17h00;GFBM2;16h25;16;25;0,6667;0,4166666667;16,4167;153;153,6667;130
03/05/13;10h00-10h25;GFBM2;10h00;10;00;0,4167;0;10,0000;154;154,4167;130
04/06/13;13h30-14h00;GFBM2;13h30;13;30;0,5417;0,5;13,5000;155;155,5417;130
05/06/13;9h30-10h00;GFBM2;9h30;9;30;0,3750;0,5;9,5000;156;156,3750;130
;;;;;;;;;;;
02/05/14;NA;BMEC1;16h37;16;37;0,6667;0,6166666667;16,6167;122;122,6667;119
03/05/14;NA;BMEC1;13h38;13;38;0,5417;0,6333333333;13,6333;123;123,5417;119
04/05/14;NA;BMEC1;14h37;14;37;0,5833;0,6166666667;14,6167;124;124,5833;119
05/05/14;NA;BMEC1;13h25;13;25;0,5417;0,4166666667;13,4167;125;125,5417;119
06/05/14;NA;BMEC1;14h34;14;34;0,5833;0,5666666667;14,5667;126;126,5833;119
07/05/14;NA;BMEC1;16h59;16;59;0,6667;0,9833333333;16,9833;127;127,6667;119
08/05/14;NA;BMEC1;16h58;16;58;0,6667;0,9666666667;16,9667;128;128,6667;119
09/05/14;NA;BMEC1;16h56;16;56;0,6667;0,9333333333;16,9333;129;129,6667;119
10/05/14;NA;BMEC1;16h53;16;53;0,6667;0,8833333333;16,8833;130;130,6667;119
11/05/14;NA;BMEC1;16h51;16;51;0,6667;0,85;16,8500;131;131,6667;119
12/05/14;NA;BMEC1;16h48;16;48;0,6667;0,8;16,8000;132;132,6667;119
13/05/14;NA;BMEC1;14h57;14;57;0,5833;0,95;14,9500;133;133,5833;119
14/05/14;NA;BMEC1;14h31;14;31;0,5833;0,5166666667;14,5167;134;134,5833;119
15/05/14;NA;BMEC1;14h10;14;10;0,5833;0,1666666667;14,1667;135;135,5833;119
;;;;;;;;;;;
06/10/14;NA;BMFS1;12h44;12;44;0,5000;0,7333333333;12,7333;279;279,5000;273
07/10/14;NA;BMFS1;11h55;11;55;0,4583;0,9166666667;11,9167;280;280,4583;273
08/10/14;NA;BMFS1;13h38;13;38;0,5417;0,6333333333;13,6333;281;281,5417;273
09/10/14;NA;BMFS1;12h26;12;26;0,5000;0,4333333333;12,4333;282;282,5000;273
10/10/14;NA;BMFS1;12h32;12;32;0,5000;0,5333333333;12,5333;283;283,5000;273
11/10/14;NA;BMFS1;13h30;13;30;0,5417;0,5;13,5000;284;284,5417;273
12/10/14;NA;BMFS1;12h52;12;52;0,5000;0,8666666667;12,8667;285;285,5000;273
