"Img";"Root";"Root_id";"Length";"Surface";"Volume";"Diam";"rootOrder";"path";"parent";"LPosParent";"insertAng";"nChild";"childDensity";"firstChild";"LPosFirstChild";"lastChild";"LPosLastChild";"ID_manipe";"PlantID";"Root_LPos";"Img_date";"Img_date_factor";"Rhizo";"Jdec";"Jdec_trunc";"DAS_trunc";"DAS_dec";"Yins";"Dist_base";"Date_birth";"Date_birth_dec";"Root_age";"Root_age_dec";"Troncon";"ER_dt";"RER_dt";"Moy_v2_v3";"Local_ER_median_v2_v3";"Local_ER_moyenne_v2_v3";"Local_LR_density";"Local_LR_density2";"bLength_bDiam";"bDiam";"aDiam";"aLength_aDiam";"bLength_aDiam"
"1";"02_05_2014_J1_R001.xml";" BMEC1_R001_A1";" 2f143f87-fe60-43ae-b799-4ffa2f36331a";4.2083077;1.1984048;0.028944232;0.09604122;"0";"-1";"-1";0;0;0;0;" null";" null";" null";" null";"BMEC1";"BMEC1_R001_A1";" taproot_0";2014-05-02;"2014-05-02";"R001";122.6667;122;3;3.66670000000001;-4.7950997;0;2014-05-02;122.6667;0;0;"T05";NA;NA;3.84686402901404;NA;NA;NA;NA;0.2511248;0.09527271;0.094923325;0.17461595;4.033692
"2";"03_05_2014_J2_R001.xml";" BMEC1_R001_A1";" 2f143f87-fe60-43ae-b799-4ffa2f36331a";7.0260773;2.0616362;0.050062533;0.09697809;"0";"-1";"-1";0;0;0;0;" null";" null";" null";" null";"BMEC1";"BMEC1_R001_A1";" taproot_0";2014-05-03;"2014-05-03";"R001";123.5417;123;4;4.54170000000001;-4.7950997;0;2014-05-02;122.6667;1;0.875;"T05";3.22034285714286;0.585797738196458;3.84686402901404;NA;NA;NA;NA;0.2511248;0.09527271;0.10544437;0.16227777;6.863799
"3";"04_05_2014_R001.xml";" BMEC1_R001_A1";" 2f143f87-fe60-43ae-b799-4ffa2f36331a";10.028566;3.089181;0.078089595;0.09977892;"0";"-1";"-1";0;0;0;0;" null";" null";" null";" null";"BMEC1";"BMEC1_R001_A1";" taproot_0";2014-05-04;"2014-05-04";"R001";124.5833;124;5;5.58329999999999;-4.7950997;0;2014-05-02;122.6667;2;1.91659999999999;"T05";2.8825844854071;0.341598717726076;3.84686402901404;NA;NA;NA;NA;0.2511248;0.09527271;0.104369424;0.12806712;9.900499
"4";"05_05_2014_R001.xml";" BMEC1_R001_A1";" 2f143f87-fe60-43ae-b799-4ffa2f36331a";14.639552;4.6271095;0.1190108;0.101570435;"0";"-1";"-1";0;0;0;0;" null";" null";" null";" null";"BMEC1";"BMEC1_R001_A1";" taproot_0";2014-05-05;"2014-05-05";"R001";125.5417;125;6;6.54170000000001;-4.7950997;0;2014-05-02;122.6667;3;2.875;"T05";4.81114357262098;0.3947090721831;3.84686402901404;NA;NA;NA;NA;0.2511248;0.09527271;0.10196145;0;14.639552
"30";"06_05_2014_R001.xml";" BMEC1_R001_A1";" 2f143f87-fe60-43ae-b799-4ffa2f36331a";20.851126;6.637669;0.17089568;0.10214296;"0";"-1";"-1";0;0;25;6.1532836;" lat_8";" 0.9503509";" lat_125";" 5.013222";"BMEC1";"BMEC1_R001_A1";" taproot_0";2014-05-06;"2014-05-06";"R001";126.5833;126;7;7.58329999999999;-4.7950997;0;2014-05-02;122.6667;4;3.91659999999999;"T05";5.96342165898624;0.339551189411872;3.84686402901404;NA;NA;NA;NA;0.2511248;0.09527271;0.114206895;0.18069354;20.670431
"82";"07_05_2014_R001_aligned.xml";" BMEC1_R001_A1";" 2f143f87-fe60-43ae-b799-4ffa2f36331a";27.20395;8.754056;0.22710414;0.10292017;"0";"-1";"-1";0;0;51;7.49629;" lat_8";" 0.9503509";" lat_117";" 7.753716";"BMEC1";"BMEC1_R001_A1";" taproot_0";2014-05-07;"2014-05-07";"R001";127.6667;127;8;8.66670000000001;-4.7950997;0;2014-05-02;122.6667;5;5;"T05";5.86376223001655;0.245480561869753;3.84686402901404;NA;NA;NA;NA;0.2511248;0.09527271;0.110771775;0.44996908;26.753983
"161";"08_05_2014_R001_aligned.xml";" BMEC1_R001_A1";" 2f143f87-fe60-43ae-b799-4ffa2f36331a";31.870974;10.38904;0.27271715;0.10410516;"0";"-1";"-1";0;0;78;7.0499115;" lat_8";" 0.9503509";" lat_105";" 12.01432";"BMEC1";"BMEC1_R001_A1";" taproot_0";2014-05-08;"2014-05-08";"R001";128.6667;128;9;9.66669999999999;-4.7950997;0;2014-05-02;122.6667;6;5.99999999999999;"T05";4.66710000000006;0.158336160031335;3.84686402901404;NA;NA;NA;NA;0.2511248;0.09527271;0.115875706;0.50055516;31.370419
"272";"09_05_2014_R001_aligned.xml";" BMEC1_R001_A1";" 2f143f87-fe60-43ae-b799-4ffa2f36331a";38.06538;12.635966;0.33762205;0.105781734;"0";"-1";"-1";0;0;110;6.286437;" lat_8";" 0.9503509";" lat_241";" 18.448338";"BMEC1";"BMEC1_R001_A1";" taproot_0";2014-05-09;"2014-05-09";"R001";129.6667;129;10;10.6667;-4.7950997;0;2014-05-02;122.6667;7;6.99999999999999;"T05";6.1944;0.177609227636001;3.84686402901404;NA;NA;NA;NA;0.2511248;0.09527271;0.11453469;0;38.06538
"426";"10_05_2014_R001_aligned.xml";" BMEC1_R001_A1";" 2f143f87-fe60-43ae-b799-4ffa2f36331a";42.977375;14.3927965;0.38764882;0.10662728;"0";"-1";"-1";0;0;153;6.734106;" lat_8";" 0.9503509";" lat_173";" 23.670515";"BMEC1";"BMEC1_R001_A1";" taproot_0";2014-05-10;"2014-05-10";"R001";130.6667;130;11;11.6667;-4.7950997;0;2014-05-02;122.6667;8;7.99999999999999;"T05";4.91200000000001;0.121368663087939;3.84686402901404;NA;NA;NA;NA;0.2511248;0.09527271;0.1146607;0;42.977375
"628";"11_05_2014_R001_aligned.xml";" BMEC1_R001_A1";" 2f143f87-fe60-43ae-b799-4ffa2f36331a";48.502155;16.411776;0.44642186;0.107740395;"0";"-1";"-1";0;0;201;6.9783044;" lat_8";" 0.9503509";" lat_186";" 29.753908";"BMEC1";"BMEC1_R001_A1";" taproot_0";2014-05-11;"2014-05-11";"R001";131.6667;131;12;12.6667;-4.7950997;0;2014-05-02;122.6667;9;8.99999999999999;"T05";5.5248;0.12093476160751;3.84686402901404;NA;NA;NA;NA;0.2511248;0.09527271;0.12521467;0;48.502155
